German,English
Hallo,Hi
Guten Tag,Hello
TschuB,Goodbye / Bye
Danke,Thank you
Bitte,Please
Entschuldigung,Sorry
Stopp,Stop
Vorsicht,Caution
ja,yes
nein,no
die Richtung,direction
der Eingang ,entrance 
der Ausgang,exit
die StraBe,street
der Weg,way
der Platz,square
rechts ,right 
links,left
geradeaus,straight ahead
zuruck,back
Was ist...?,What is ...?
Wo ist ...?,Where is ...?
Wie ...?,How ...?
Wie viel kostet es?,How much is it?
Wie lange dauert es?,How long does it take?
Gibt es ...?,Is there ...?
Ich hatte gerne ...,I would like ...
Ich brauche ...,I need ...
Kein Problem!,No problem!
der Supermarkt,supermarket
das Geld,cash
die Karte (Bankkarte),bank card
die Tasche,bag
der Tampon,tampon
die Binde,(sanitary) pad
das Kondom,condom
die Zahnburste,toothbrush
die Hilfe,help
die Polizei,police
das Haus,house
die Wohnung,apartment
das Hotel,hotel
das Museum,museum
der Strand,beach
der Wald,forest
der Berg,mountain
der Park,park
der Fluss,river
das Meer,sea
der See,lake
das Wetter,weather
die Sonne ,sun 
der Regen,rain
der Schnee,snow
das Gewitter,thunderstorm
